sable denizens of that 64
stand entirely on his 75
stand entirely on its 456
stand exposure to air 48
stand extremes of heat 302
stand foremost in his 90
stand foremost in our 62
stand foremost in this 133
stand godfather to all 573
stand godfather to her 242
stand godfather to him 237
stand godfather to his 670
stand godfather to one 388
stand godfather to this 98
stand godmother to her 261
stand godmother to him 92
stand godmother to his 83
stand godmother to one 43
stand indebted to him 605
stand indebted to his 60
stand indebted to our 178
stand indebted to them 99
stand indebted to this 93
stand indebted to you 262
stand isolated in our 109
stand minister by that 104
stand opposite to each 2121
stand opposite to him 390
stand opposite to one 636
stand opposite to that 206
stand opposite to them 176
stand opposite to you 44
stand parallel to each 456
stand parallel to one 106
stand prepared to act 103
stand prepared to bring 56
stand prepared to die 99
stand prepared to fly 42
stand prepared to run 65
stand provided so that 102
stand recorded in his 181
stand recorded in its 92
stand recorded in our 175
stand relative to each 242
stand relative to one 190
stand relative to this 40
stand securely on his 53
stand securely on its 80
stand sentinel by his 107
stand separate or are 40
stand silently by and 349
stand slightly in awe 49
stand slightly to one 249
stand somewhat in awe 236
stand squarely on all 99
stand squarely on both 266
stand squarely on his 439
stand squarely on its 202
stand squarely on our 58
stand steadfast in his 49
stand steadfast in this 41
stand straight on end 326
stand straight on his 115
stand straight so that 41
stand straight up and 777
stand straight up with 460
stand strictly on its 42
stand stripped of all 66
stand supinely by and 91
stand unharmed on her 42
staph infection in his 80
stare curiously at her 66
stare curiously at him 102
stare curiously at them 46
stare directed at his 183
stare directly at her 495
stare directly at him 471
stare directly at his 41
stare directly at them 251
stare directly at you 110
stare dismally at one 178
stare intently at each 91
stare intently at her 119
stare intently at him 67
stare intently at his 92
stare silently at each 155
stare silently at her 54
stare silently at him 58
stare straight at her 268
stare straight at him 434
stare straight at them 104
stare straight at you 121
stare stupidly at each 87
stare stupidly at him 306
stare stupidly at one 46
stare vacantly at things 91
staring absently at her 57
staring absently at his 68
staring accusingly at her 57
staring accusingly at him 61
staring anxiously at her 76
staring anxiously at him 72
staring anxiously at his 42
staring curiously at her 234
staring curiously at him 239
staring curiously at his 94
staring curiously at them 80
staring curiously at this 58
staring defiantly at her 61
staring defiantly at him 57
staring directly at each 45
staring directly at her 1354
staring directly at him 1364
staring directly at his 151
staring directly at them 210
staring directly at you 103
staring fiercely at her 72
staring fiercely at him 68
staring gloomily at her 67
staring gloomily at his 108
staring insanely at her 83
staring intently at each 191
staring intently at her 1551
staring intently at him 928
staring intently at his 825
staring intently at its 47
staring intently at one 280
staring intently at our 43
staring intently at them 122
staring intently at this 40
staring intently at you 56
staring intently in his 50
staring likewise at her 51
staring morosely at her 61
staring morosely at his 115
staring portrait on its 45
staring silently at each 142
staring silently at her 136
staring silently at him 182
staring silently at his 114
staring silently at one 47
staring silently at this 53
staring solemnly at her 72
staring solemnly at him 72
staring solemnly at you 43
staring straight at her 1723
staring straight at him 2228
staring straight at his 198
staring straight at one 56
staring straight at them 354
staring straight at you 224
staring strangely at her 79
staring strangely at him 50
staring stupidly at each 97
staring stupidly at her 139
staring stupidly at him 147
staring stupidly at his 116
staring stupidly at them 55
staring unseeingly at her 43
staring vacantly at her 105
staring vacantly at him 114
staring vacantly at his 194
staring vacantly at one 50
stark coldness of that 58
stark contrast in this 53
stark contrast of his 51
stark contrast of this 41
stark contrast to all 604
stark contrast to and 53
stark contrast to any 140
stark contrast to both 495
stark contrast to each 297
stark contrast to east 40
stark contrast to god 69
stark contrast to her 2176
stark contrast to his 5080
stark contrast to how 394
stark contrast to its 2093
stark contrast to men 67
stark contrast to new 124
stark contrast to non 43
stark contrast to one 745
stark contrast to our 829
stark contrast to that 8323
stark contrast to them 71
stark contrast to this 2698
stark contrast to two 127
stark evidence of his 69
stark evidence of how 101
stark evidence of this 111
stark examples of how 44
stark examples of this 74
