baboons and early man 221
brought her there was 130
brought her there with 82
brought her thumb and 53
brought her toys and 43
brought her unto him 116
brought her unto man 151
brought her very low 250
brought her very near 530
brought her wealth and 111
brought her what she 355
brought her when she 182
brought her when they 59
brought her wine and 123
brought her word that 987
brought her work and 113
brought her work with 79
brought her young man 61
brought her young son 384
brought him along and 154
brought him along for 323
brought him along this 42
brought him along too 66
brought him along with 1624
brought him also his 46
brought him among his 45
brought him among them 143
brought him away and 47
brought him away with 208
brought him back all 111
brought him back and 2385
brought him back both 40
brought him back but 67
brought him back dead 218
brought him back each 78
brought him back for 1025
brought him back had 47
brought him back his 299
brought him back long 62
brought him back not 44
brought him back now 57
brought him back one 173
brought him back out 374
brought him back that 288
brought him back this 114
brought him back too 69
brought him back two 60
brought him back was 153
brought him back with 3241
brought him beer and 45
brought him bread and 1887
brought him cups and 42
brought him down and 1079
brought him down but 57
brought him down can 48
brought him down dead 201
brought him down for 227
brought him down had 70
brought him down near 47
brought him down off 211
brought him down one 121
brought him down out 711
brought him down that 98
brought him down this 80
brought him down too 61
brought him down was 277
brought him down with 5609
brought him during his 95
brought him even with 90
brought him fame and 3924
brought him fame but 165
brought him fame not 63
brought him fame was 200
brought him fame with 41
brought him fish and 70
brought him food and 2725
brought him food but 58
brought him food for 108
brought him food that 64
brought him forth and 469
brought him forth for 59
brought him forth out 491
brought him forth with 97
brought him from all 140
brought him from asia 46
brought him from being 71
brought him from far 119
brought him from her 91
brought him from his 2236
brought him from new 250
brought him from one 119
brought him from our 57
brought him from san 74
brought him from that 140
brought him gave him 40
brought him gold and 120
brought him good things 64
brought him great and 54
brought him great joy 491
brought him health and 77
brought him here and 1390
brought him here but 68
brought him here for 2340
brought him here had 159
brought him here now 111
brought him here one 53
brought him here that 318
brought him here then 44
brought him here this 166
brought him here two 44
brought him here was 282
brought him here with 450
brought him home all 43
brought him home and 2397
brought him home but 52
brought him home dead 98
brought him home for 1140
brought him home ill 82
brought him home one 303
brought him home that 528
brought him home this 52
brought him home two 43
brought him home was 81
brought him home with 4057
brought him hope and 64
brought him into all 156
brought him into any 222
brought him into bad 231
brought him into bed 66
brought him into being 1317
brought him into con 184
brought him into easy 64
brought him into far 53
brought him into head 162
brought him into her 1388
brought him into his 3024
brought him into ill 128
brought him into its 90
brought him into near 68
brought him into new 262
brought him into one 359
brought him into our 942
brought him into real 46
brought him into that 938
brought him into this 2998
brought him into war 45
brought him into with 86
brought him into yet 75
brought him just now 50
brought him leaping out 43
brought him less than 268
brought him love and 93
brought him luck and 119
brought him made him 102
brought him many new 239
brought him many things 60
brought him many who 58
brought him meals and 40
brought him milk and 170
brought him more and 552
brought him more joy 102
brought him more than 1651
brought him much joy 158
brought him name and 63
brought him news and 52
brought him news out 66
brought him news that 2062
brought him next day 40
brought him nothing but 3924
brought him nothing that 112
brought him only one 253
brought him only two 121
brought him onto his 60
brought him other things 46
brought him over all 44
brought him over and 444
brought him over for 194
brought him over had 52
brought him over this 48
brought him over was 72
brought him over with 328
brought him pain and 161
brought him peace and 444
brought him rice and 73
brought him rich and 77
brought him safe and 130
brought him safe off 367
brought him safe out 297
brought him soap and 46
brought him some bad 42
brought him some hot 163
brought him some ice 106
brought him some meat 73
brought him some new 306
brought him some way 53
brought him soup and 100
brought him such joy 183
brought him their own 63
brought him there and 590
brought him there but 92
brought him there for 223
brought him there had 88
brought him there has 119
brought him there that 345
brought him there was 320
brought him there with 141
brought him unto her 86
brought him unto him 437
brought him unto his 228
brought him unto thee 105
brought him upon his 239
brought him upon one 53
brought him very low 495
brought him very near 1782
brought him wealth and 957
brought him what she 67
brought him what they 77
brought him what was 127
brought him when she 50
brought him when they 47
brought him wine and 368
brought him word that 7458
brought his arms and 94
brought his arms out 92
brought his army and 147
brought his army near 40
brought his army out 379
brought his army that 40
brought his army with 116
brought his aunt and 45
brought his beer and 58
brought his bill for 199
brought his boat and 48
brought his body and 127
brought his body out 218
brought his body with 84
brought his book and 69
brought his book with 62
brought his bread and 49
brought his brig with 100
brought his case for 51
brought his coat and 86
brought his dogs with 50
brought his face and 44
brought his face near 190
brought his face out 190
brought his finger near 42
brought his fist with 48
brought his food and 186
brought his gift for 46
brought his guns and 46
brought his hand and 46
brought his hand near 82
brought his hand out 1361
brought his hand with 91
brought his heart and 42
brought his ideas and 49
brought his lady and 77
