of abdomen dark brown 232
of several such plans 67
of several such rules 47
of several such sites 92
of several such small 75
of several such steps 49
of several such tasks 72
of several such terms 53
of several such tests 137
of several such trials 62
of several such trips 86
of several such units 312
of several such women 84
of several such words 56
of several such works 187
of several sunk rocks 47
of several tall trees 73
of several test cases 126
of several test items 45
of several test tubes 185
of several text books 151
of several third world 744
of several time slots 45
of several time steps 85
of several time zones 57
of several unit cells 111
of several very gross 153
of several very large 868
of several very short 117
of several very small 361
of several very strong 131
of several wave lengths 432
of several ways which 122
of several well known 1185
of several were found 67
of several west coast 232
of several west indian 218
of several wild beasts 113
of several years about 55
of several years after 971
of several years apart 41
of several years could 191
of several years growth 140
of several years hence 59
of several years later 1089
of several years makes 73
of several years might 146
of several years often 50
of several years rather 189
of several years seems 47
of several years shows 173
of several years since 439
of several years spent 388
of several years study 168
of several years teaching 48
of several years under 234
of several years until 247
of several years where 74
of several years which 288
of several years while 347
of several years within 58
of several years working 61
of several years would 628
of several yeast genes 60
of several young adult 162
of several young black 71
of several young girls 373
of several young people 613
of several young women 958
of severed body parts 186
of shadows from which 88
of shadowy blue suits 41
of shadowy pall seems 54
of shadowy tint appear 187
of shallow land burial 161
of shallow open water 119
of shallow salt domes 48
of shallow salt lakes 75
of shallow salt water 80
of shallow talk about 42
of shallow tube wells 189
of shallow warm water 56
of shallow well water 72
of shapely young women 48
of sharply rising costs 243
of sharply rising hills 58
of shelley there sprang 64
of shelter from which 55
of shelter from winds 52
of shelves from floor 53
of shelves from which 89
of shelves upon which 97
of shorter life spans 161
of shorter poems which 89
of shorter wave lengths 1223
of shorter work hours 132
of shorter work weeks 152
of shrinking from danger 92
of shrinking open space 108
of sidereal time which 63
of signals along nerve 122
of signals from nerve 45
of signals from noise 390
of signals from space 68
of signals from which 106
of signals from within 55
of signals gave warning 41
of signals took place 82
of silence during which 2253
of silence from which 308
of silence grew longer 88
of silence have taken 56
of silence into which 454
of silence once again 66
of silence took place 55
of silence upon which 59
of silicon from which 40
of silicon onto which 53
of silicon were found 41
of silvery blue gauze 62
of silvery blue water 43
of similar acts tends 48
of similar acts which 177
